YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,water_l1,avg_water_l1
2017,4,3,22,45,46,1250.86,NULL
2017,4,3,23,2,10,1256.01,NULL
2017,4,3,23,11,51,1251.48,NULL
2017,4,3,23,27,59,1248.9,NULL
2017,4,3,23,41,53,1257.38,NULL
2017,4,4,0,11,53,1258.72,NULL
2017,4,4,0,26,52,1256.77,NULL
2017,4,4,0,44,0,1261.26,NULL
2017,4,4,0,56,51,1262.86,NULL
2017,4,4,1,29,20,1267.21,NULL
2017,4,4,1,41,51,1272.45,NULL
2017,4,4,1,58,30,1274.7,NULL
2017,4,4,2,11,52,1280.28,NULL
2017,4,4,2,26,52,1285.05,NULL
2017,4,4,2,41,51,1277.8,NULL
2017,4,4,2,58,5,1282.07,NULL
2017,4,4,3,11,53,1276.56,NULL
2017,4,4,3,28,5,1274.04,NULL
2017,4,4,3,41,51,1270.65,NULL
2017,4,4,3,58,2,1277.09,NULL
2017,4,4,4,11,52,1273.39,NULL
2017,4,4,4,26,51,1275,NULL
2017,4,4,4,59,19,1270.61,NULL
2017,4,4,5,11,51,1264.79,NULL
2017,4,4,5,28,30,1262.12,NULL
2017,4,4,5,46,0,1259.42,NULL
2017,4,4,5,56,53,1254.62,NULL
2017,4,4,6,11,51,1255.52,NULL
2017,4,4,6,28,3,1260.55,NULL
2017,4,4,6,41,52,1253.57,NULL
2017,4,4,6,56,52,1249.38,NULL
2017,4,4,7,11,51,1249.32,NULL
2017,4,4,7,28,1,1252.11,NULL
2017,4,4,7,41,52,1253.81,NULL
2017,4,4,7,56,51,1255.16,NULL
2017,4,4,8,14,21,1255.75,NULL
2017,4,4,8,27,10,1250.68,NULL
2017,4,4,8,41,52,1248.85,NULL
2017,4,4,8,56,51,1254.27,NULL
2017,4,4,9,12,57,1250.68,NULL
2017,4,4,9,26,52,1252.03,NULL
2017,4,4,9,44,43,1247.04,NULL
2017,4,4,9,56,52,1245.55,NULL
2017,4,4,10,13,3,1239.46,NULL
2017,4,4,10,29,20,1241.65,NULL
2017,4,4,10,41,51,1240.74,NULL
2017,4,4,10,58,1,1243.06,NULL
2017,4,4,11,14,19,1241.13,NULL
2017,4,4,11,30,53,1239.13,NULL
2017,4,4,11,41,53,1236.99,NULL
2017,4,4,11,58,7,1239.56,NULL
2017,4,4,12,11,52,1232.49,NULL
2017,4,4,12,28,5,1235.89,NULL
2017,4,4,12,41,53,1237.21,NULL
2017,4,4,12,56,51,1240.33,NULL
2017,4,4,13,13,30,1239.6,NULL
2017,4,4,13,31,4,1241.13,NULL
2017,4,4,13,41,52,1240.36,NULL
2017,4,4,13,56,52,1244.43,NULL
2017,4,4,14,41,52,1246.53,NULL
2017,4,4,14,56,51,1248.37,NULL
2017,4,4,15,15,11,1252.65,NULL
2017,4,4,15,41,52,1253.63,NULL
2017,4,4,15,58,30,1247.79,NULL
2017,4,4,16,15,50,1246.17,NULL
2017,4,4,16,26,52,1246.77,NULL
2017,4,4,16,43,2,1244.11,NULL
2017,4,4,16,56,54,1241.88,NULL
2017,4,4,17,11,52,1242.12,NULL
2017,4,4,17,26,52,1237.01,NULL
2017,4,4,17,43,4,1242.55,NULL
2017,4,4,18,15,39,1236.21,NULL
2017,4,4,18,26,52,1230.7,NULL
2017,4,4,18,59,19,1239.04,NULL
2017,4,4,19,29,21,1240.87,NULL
2017,4,4,19,41,51,1242.96,NULL
2017,4,4,20,14,16,1247.67,NULL
2017,4,4,20,30,54,1241.54,NULL
2017,4,4,20,41,53,1247.3,NULL
2017,4,4,20,56,52,1244.15,NULL
2017,4,4,21,14,20,1245.09,NULL
2017,4,4,21,26,55,1250.32,NULL
2017,4,4,21,44,17,1245.75,NULL
2017,4,4,21,56,52,1251.69,NULL
2017,4,4,22,13,2,1248.59,NULL
2017,4,4,22,26,53,1250.89,NULL
2017,4,4,22,41,52,1251.68,NULL
2017,4,4,22,58,31,1252.6,NULL
2017,4,4,23,11,52,1253.58,NULL
2017,4,4,23,28,1,1258,NULL
2017,4,4,23,41,52,1258.71,NULL
2017,4,5,0,11,53,1260.69,NULL
2017,4,5,0,26,52,1265.02,NULL
2017,4,5,0,43,31,1266.91,NULL
2017,4,5,0,56,53,1269.98,NULL
2017,4,5,1,11,53,1271.08,NULL
2017,4,5,1,28,2,1274.11,NULL
2017,4,5,1,41,52,1274.88,NULL
2017,4,5,1,58,3,1280.38,NULL
2017,4,5,2,11,52,1283.04,NULL
2017,4,5,2,28,3,1282.22,NULL
2017,4,5,2,44,8,1283.24,NULL
2017,4,5,3,0,16,1285.74,NULL
2017,4,5,3,11,51,1289.64,NULL
2017,4,5,3,28,29,1289.27,NULL
2017,4,5,3,41,53,1283.05,NULL
2017,4,5,3,56,51,1284.19,NULL
2017,4,5,4,13,30,1283.59,NULL
2017,4,5,4,26,51,1288.02,NULL
2017,4,5,4,43,4,1286.88,NULL
2017,4,5,4,59,18,1280.89,NULL
2017,4,5,5,11,51,1278.11,NULL
2017,4,5,5,28,30,1276.15,NULL
2017,4,5,5,41,52,1269.86,NULL
2017,4,5,5,56,52,1270.09,NULL
2017,4,5,6,11,51,1272.79,NULL
2017,4,5,6,28,31,1266.78,NULL
2017,4,5,6,41,51,1266.59,NULL
2017,4,5,6,58,32,1265.21,NULL
2017,4,5,7,11,52,1266.44,NULL
2017,4,5,7,26,51,1263.37,NULL
2017,4,5,7,43,30,1258.58,NULL
2017,4,5,7,56,52,1259.38,NULL
2017,4,5,8,13,1,1259.97,NULL
2017,4,5,8,26,51,1258.62,NULL
2017,4,5,9,0,2,1259.05,NULL
2017,4,5,9,11,51,1257.25,NULL
2017,4,5,9,28,4,1257.21,NULL
2017,4,5,9,41,51,1261.36,NULL
2017,4,5,9,58,4,1266.31,NULL
2017,4,5,10,11,52,1263.82,NULL
2017,4,5,10,28,5,1258.85,NULL
